Dim1,Dim2,Label,Sample
-0.8798841,7.976345,7," I don't know, I can't really think of anything.  I just been playing a little golf and producing a "
0.5308466,6.655544,7," No, and don't tell me what is going on. I don't and don't tell me what is going on.  Please."
7.0086603,-11.123167,2,"  Yeah, I think I'm always pretty good no matter if we have fans or not.  I always talk about stayin"
17.404203,-1.2592762,4,"I was going to say, Marcus over here was in the finals of the MVP of the American League, and here y"
-7.022748,-21.329184,2," Obviously today was more of a grind than last Thursday.  But still, still saw some good scores, obv"
-18.153183,-12.674317,2,"Yeah, I think she was tired in the third set and she -- when she start -- when I start to play, you "
12.541861,18.717503,2,"Yeah, Zack's preparation is probably the best in the game. There's a couple of guys here, too, as we"
-25.24458,1.2460694,2," I managed to hit some of my shots close, and the ones that I didn't I managed to save par."
-6.714864,17.338678,3,"  Yeah, he's just battling through the heel.  He was struggling to move a little bit but toughed it "
-20.830442,-12.210072,3, It is like during the Wimbledon -- before the main game she was practicing and she injured at the W
11.648598,-4.592393,1,"Yeah, I mean, having them go out there and be aggressive, a lot of the credit goes to the scout defe"
18.79972,-19.884262,2, I can't say that I turned it up because he doublefaulted three times.  I wish I could take credit f
17.59798,-11.314511,2,"  It's unusual.  It's rare that you would dominate the 500 the way we did, support a single driver t"
1.9016367,-21.596874,2,"I feel great. We've had good speed. I look at Vegas, if we didn't get the damage, get trapped down a"
10.31682,-7.5129714,2," It's just about fairest match I play. Today I was expected to do win, I came through, I'm expected "
-1.2140267,-6.1076794,6, We just said that we are going to make a couple of tournaments before the Open and the Open.  We di
10.380359,8.337607,6,"You obviously love your chances, you've won it twice before, what is it about that makes this event "
-24.142942,-8.083221,5,It's not a bad four-year run. It almost feels like it got started against us a few years ago at our 
-6.2822847,12.728281,5,"  I had so much champagne, I don't even remember what I said to my dad.  Probably I love him.  He's "
-20.126282,15.586963,2,"  I hit pretty good tee shot and I have like 195 and it's like downwind, so I hit 6-iron and I have "
-1.0873095,14.844883,2,"  I don't think Andre lacked anything.  I think Andre has all of the tools to be a great player, and"
2.3285646,-9.521012,5,Absolutely. We're all about winning it all. That's what we're all about. That's what fan base is all
-19.88644,8.7232,7," Last year I was here watching a little bit, yeah.  The year before, I am not sure, I might have bee"
3.8959577,13.840753,2," Yeah, two weeks have been just great. No one expect me to go to the quarterfinal, it has been great"
-5.4604754,12.03619,2," You know, played very well the.  He gave me the opportunities; I took them.  That is why I played w"
7.7739034,-19.441065,5,"First of all, congratulations to Stanford. They played a great match tonight. And for our group, obv"
6.3213186,-5.454098,5,"  No.  This Team does not get nervous.  We are a very poised, confident group.  We are prepared to g"
-18.48642,-1.9268422,2,I was trying to put away the hitter. For me something very big because that hitter is very big right
-4.689635,-19.494781,2,"I mean, I think certainly early in the season that was a major factor. As the season has progressed,"
5.3147655,-9.987131,7,"We've been talking a lot. Talk a little bit about baseball, talk about his workouts, and other stuff"
-8.096691,-5.929578,7,"  Yeah, absolutely.  It's gorgeous out here.  Really made it super fun having so many people watch, "
-13.477052,26.058605,1,I'm not thinking.  That's something that me and Matt have connected on before.  Incredible look by M
12.872748,-17.421423,2," Why, because they are all so good and they have done so many good things in golf.  They have won so"
2.5354872,3.2902653,2," Yeah, yeah, it's much better with my technique.  It's much better and now on I knew on hardcourt I "
-6.503949,-25.348095,2,"I think it made a difference. We ran second, led some laps, ran second all day. We were just a littl"
9.969322,-2.0048883,2,"Yeah, it just depends on what type of hitter you are. Some people stick to your approach. Some peopl"
-8.039545,6.9975076,5,  I felt like that a little bit.  I notice that Ally would always make it on top of me so I thought 
-16.826677,-5.826855,2,"  Oh, my God.  (Laughs) I'm done.  It was a struggle today, especially off the tee.  I think I was s"
-9.563776,12.750337,3,"This is something that, like I said, he came in yesterday and felt it a little bit and had these lit"
7.1954174,-16.331142,4,"Well, I wouldn't expect the worst strikeout Team to be in the World Series, you know what I'm saying"
16.085484,3.47287,2, You've had an incredible season this year.  What do you put it down to?  You've been winning almost
9.364845,-17.20916,4,"First of all, I'll certainly give Salisbury the credit they deserve.  I thought they played a very g"
13.561173,-6.2448835,7," Oh, absolutely.  What can I tell you? Three days, I have been all day in the place here trying to p"
-9.093816,-18.071894,7,"  The snarl?  I kind of just did it.  I've never really made that face before, like ever in my reall"
-10.405603,9.528622,2," I don't know.  I haven't played on stadium.  But compared to the other courts, it is slower, yeah. "
16.210958,5.3020234,5,"I echo that. When you have a place that you're proud of that you can go and say, This is such a beau"
-9.825669,-3.9277394,7,"  I'm definitely going to take some time off again.  I took a couple days off before this event, spe"
23.536192,-7.82548,5,"I'll second that.  They are tremendous players but even better people off the field.  I mean, just t"
-2.2985933,14.625532,6," Oh.  He is going to be tough.  I mean, he is very good player.  He is the top player.  So it is goi"
